title,price,link
Private room in Daly City,"$69 
night
$69 per night",https://www.airbnb.com/rooms/18347219?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Shared room in San Francisco,"$47 
$37 
night
$37 per night, originally $47",https://www.airbnb.com/rooms/35494221?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Guest suite in Daly City,"$80 
night
$80 per night",https://www.airbnb.com/rooms/869566143342911871?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$50 
night
$50 per night",https://www.airbnb.com/rooms/16858141?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-20&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$170 
$68 
night
$68 per night, originally $170",https://www.airbnb.com/rooms/742493381666228651?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=fadecda0-d2ee-4e92-8744-56bfa55181cf
Private room in San Francisco,"$73 
night
$73 per night",https://www.airbnb.com/rooms/850205084789985419?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Home in South San Francisco,"$399 
$227 
night
$227 per night, originally $399",https://www.airbnb.com/rooms/42570502?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Houseboat in South San Francisco,"$52 
night
$52 per night",https://www.airbnb.com/rooms/870274846089965742?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$80 
$53 
night
$53 per night, originally $80",https://www.airbnb.com/rooms/617484890263976639?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Hotel room in San Francisco,"$102 
night
$102 per night",https://www.airbnb.com/rooms/827583285071780249?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Hotel room in San Francisco,"$143 
$111 
night
$111 per night, originally $143",https://www.airbnb.com/rooms/35642179?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
